animeTitle	b'Xi Yangyang Yu Hui Tailang: Faming Da Zuozhan'
animeType	b'TV'
animeNumEpisode	60
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Xi Yangyang Yu Hui Tailang: Shenhai Lixian Ji', b'Xi Yangyang Yu Hui Tailang: Qihuan Tiankong Dao']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
