animeTitle	b'Xi Yangyang Yu Hui Tailang: Gei Kuaile Jiayou'
animeType	b'TV'
animeNumEpisode	100
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Xi Yangyang Yu Hui Tai Lang: Qi Si Miao Xiang Xi Yangyang', b'Xi Yangyang Yu Hui Tailang: Jingji Da Lianmeng']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
